Date,Open,High,Low,Close,Adj Close,Volume,Company
17-04-2018,95,96.540001,94.879997,96.07,95.655396,26771000,RIL
18-04-2018,96.220001,96.720001,95.519997,96.440002,96.023796,21043300,RIL
19-04-2018,96.440002,97.07,95.339996,96.110001,95.695221,23552500,RIL
20-04-2018,95.910004,96.110001,94.050003,95,94.590012,31154400,RIL
23-04-2018,95.739998,96.290001,94.629997,95.349998,94.938499,22331800,RIL
24-04-2018,96.239998,96.470001,92.410004,93.120003,92.718124,34524800,RIL
25-04-2018,93.300003,93.300003,90.279999,92.309998,91.911621,33729300,RIL
26-04-2018,93.550003,95.150002,93.099998,94.260002,93.85321,42529000,RIL
27-04-2018,97.599998,97.900002,93.910004,95.82,95.406471,48272800,RIL
30-04-2018,96.330002,96.400002,93.150002,93.519997,93.116394,41523600,RIL
01-05-2018,93.209999,95.290001,92.790001,95,94.590012,31408900,RIL
02-05-2018,94.989998,95.169998,93.190002,93.510002,93.106445,27471000,RIL
03-05-2018,92.959999,94.93,92.449997,94.07,93.664024,31142500,RIL
04-05-2018,93.32,95.370003,92.919998,95.160004,94.749321,22531300,RIL
07-05-2018,95.169998,96.709999,95.099998,96.220001,95.804749,24242000,TCS
08-05-2018,95.849998,96.160004,95.059998,95.809998,95.396515,23484600,TCS
09-05-2018,96.010002,96.970001,95.050003,96.940002,96.521645,27327400,TCS
10-05-2018,97.459999,97.949997,97.050003,97.910004,97.487457,22388100,TCS
11-05-2018,97.800003,97.870003,97.040001,97.699997,97.278358,16778300,TCS
14-05-2018,97.919998,98.690002,97.309998,98.029999,97.606934,19454100,TCS
15-05-2018,97.239998,97.849998,96.339996,97.32,96.900002,24594000,TCS
16-05-2018,97.360001,97.400002,96.620003,97.150002,97.150002,17384700,TCS
17-05-2018,96.760002,97.540001,95.830002,96.18,96.18,17246700,TCS
18-05-2018,96.010002,96.93,96.010002,96.360001,96.360001,17865800,TCS
21-05-2018,97,98.010002,96.800003,97.599998,97.599998,19422500,TCS
22-05-2018,97.68,98.169998,97.199997,97.5,97.5,15441200,TCS
23-05-2018,96.709999,98.730003,96.32,98.660004,98.660004,21114800,TCS
24-05-2018,98.730003,98.940002,96.809998,98.309998,98.309998,21540800,TCS
25-05-2018,98.300003,98.980003,97.860001,98.360001,98.360001,18363900,TCS
29-05-2018,97.839996,98.879997,97.230003,98.010002,98.010002,28338000,TCS
30-05-2018,98.309998,99.25,97.910004,98.949997,98.949997,22158500,TCS
31-05-2018,99.290001,99.989998,98.610001,98.839996,98.839996,34140900,TCS
01-06-2018,99.279999,100.860001,99.169998,100.790001,100.790001,28126200,TCS
04-06-2018,101.260002,101.860001,100.849998,101.669998,101.669998,27166800,TCS
05-06-2018,102,102.330002,101.529999,102.190002,102.190002,23514400,TCS
06-06-2018,102.480003,102.599998,101.900002,102.489998,102.489998,21122900,TCS
07-06-2018,102.650002,102.690002,100.379997,100.879997,100.879997,28232200,TCS
08-06-2018,101.089996,101.949997,100.540001,101.629997,101.629997,22165100,TCS
11-06-2018,101.010002,101.589996,100.669998,101.050003,101.050003,23490900,INFY
12-06-2018,101.099998,101.449997,100.75,101.309998,101.309998,18060000,INFY
